ProductCode,Product,Unit,Packaging_Qty,Cost_Price,Selling_Price,Available_Qty
CF 13,CF 13 Style Color Fresh,Ltr,1.0,119.18,111.1,1
CF 13,CF 13 Style Color Fresh,Ltr,10.0,1049.02,977.9,1
CF 13,CF 13 Style Color Fresh,Ltr,20.0,2013.08,1876.6,1
CF 13,CF 13 Style Color Fresh,Ltr,4.0,447.22,416.9,1
CF 99,CF 99 Style Color Fresh,Ltr,1.0,113.28,105.6,1
CF 5,CF 5 Style Color Fresh,Ltr,1.0,148.68,138.6,1
CF 5,CF 5 Style Color Fresh,Ltr,4.0,559.32,521.4,1
CS White,CS White Style Color Smart,Ltr,1.0,162.84,151.8,1
CS White,CS White Style Color Smart,Ltr,10.0,1445.5,1347.5,1
CS White,CS White Style Color Smart,Ltr,20.0,2777.72,2589.4,1
CS White,CS White Style Color Smart,Ltr,4.0,614.78,573.1,1
CS 1,CS 1 Style Color Smart,Ltr,1.0,162.84,151.8,1
CS 1,CS 1 Style Color Smart,Ltr,10.0,1445.5,1347.5,1
CS 1,CS 1 Style Color Smart,Ltr,20.0,2777.72,2589.4,1
CS 1,CS 1 Style Color Smart,Ltr,4.0,614.78,573.1,1
CS 2,CS 2 Style Color Smart,Ltr,1.0,162.84,151.8,1
CS 2,CS 2 Style Color Smart,Ltr,10.0,1445.5,1347.5,1
CS 2,CS 2 Style Color Smart,Ltr,20.0,2777.72,2589.4,1
CS 2,CS 2 Style Color Smart,Ltr,4.0,614.78,573.1,1
CS 99,CS 99 Style Color Smart,Ltr,1.0,153.4,143.0,1
CS 6,CS 6 Style Color Smart,Ltr,1.0,200.6,187.0,1
CS 6,CS 6 Style Color Smart,Ltr,4.0,768.18,716.1,1
CSS White,CSS White Style Color Smart Shine,Ltr,1.0,201.78,188.1,1
CSS White,CSS White Style Color Smart Shine,Ltr,4.0,809.48,754.6,1
CSS White,CSS White Style Color Smart Shine,Ltr,10.0,1820.6,1696.2,1
CSS White,CSS White Style Color Smart Shine,Ltr,20.0,3488.08,3251.6,1
CSS 1,CSS 1 Style Color Smart Shine,Ltr,1.0,201.78,188.1,1
CSS 1,CSS 1 Style Color Smart Shine,Ltr,4.0,809.48,754.6,1
CSS 1,CSS 1 Style Color Smart Shine,Ltr,10.0,1820.6,1696.2,1
CSS 1,CSS 1 Style Color Smart Shine,Ltr,20.0,3488.08,3251.6,1
CSS 2,CSS 2 Style Color Smart Shine,Ltr,1.0,188.8,176.0,1
CSS 99,CSS 99 Style Color Smart Shine,Ltr,1.0,179.36,167.2,1
CSS 99,CSS 99 Style Color Smart Shine,Ltr,4.0,678.5,632.5,1
PFP,PFP WH Style Pro Fresh Primer,Ltr,1.0,126.26,117.7,1
PFP,PFP WH Style Pro Fresh Primer,Ltr,4.0,484.98,452.1,1
PHP,PHP Pro Hide Primer,Ltr,10.0,1073.8,1001.0,1
PHP,PHP Pro Hide Primer,Ltr,20.0,2066.18,1926.1,1
PHP,PHP Pro Hide Primer,Ltr,1.0,96.76,90.2,1
PHP,PHP Pro Hide Primer,Ltr,4.0,344.56,321.2,1
PHX,ST Cement Primer,Ltr,1.0,185.26,203.39,1
PF 13,PF 13 Style Power Fit,Ltr,1.0,151.04,140.8,1
PF 13,PF 13 Style Power Fit,Ltr,4.0,572.3,533.5,1
PF 13,PF 13 Style Power Fit,Ltr,10.0,1345.2,1254.0,1
PF 13,PF 13 Style Power Fit,Ltr,20.0,2421.36,2257.2,1
PB 1,PB 1 Style Power Bright,Ltr,1.0,191.16,178.2,1
PB 1,PB 1 Style Power Bright,Ltr,4.0,729.24,679.8,1
PB 1,PB 1 Style Power Bright,Ltr,10.0,1749.94,1631.3,1
PB 1,PB 1 Style Power Bright,Ltr,20.0,3328.78,3103.1,1
PB 2,PB 2 Style Power Bright,Ltr,1.0,184.08,171.6,1
PB 2,PB 2 Style Power Bright,Ltr,4.0,708.0,660.0,1
PB 99,PB 99 Style Power,Ltr,1.0,174.64,162.8,1
PB White,PB White Style Power,Ltr,1.0,191.16,178.2,1
PB White,PB White Style Power,Ltr,10.0,1749.94,1631.3,1
PB White,PB White Style Power,Ltr,20.0,3328.78,3103.1,1
PB 99,PB 99 Style Power Bright,Ltr,4.0,667.88,622.6,1
PBS White,PBS White Style Power Bright Shine,Ltr,1.0,208.86,194.7,1
PBS White,PBS White Style Power Bright Shine,Ltr,4.0,800.04,745.8,1
PBS White,PBS White Style Power Bright Shine,Ltr,10.0,1929.3,1798.5,1
